ds,y,distribution_center_id,inventory_item_id
1/3/2023,4,5,152952
1/3/2023,4,6,15750
1/3/2023,4,7,240016
1/3/2023,2,7,350256
1/3/2023,1,7,210953
1/3/2023,4,7,152948
1/3/2023,4,9,240013
1/3/2023,1,9,162034
1/3/2023,1,9,35948
1/3/2023,3,9,347641
1/3/2023,1,9,268964
1/3/2023,4,10,15748
1/3/2023,1,10,480943
1/3/2023,3,10,347645
1/3/2023,1,10,484071
1/4/2023,1,1,42121
1/4/2023,3,2,60020
1/4/2023,1,2,414408
1/4/2023,1,2,111426
1/4/2023,1,2,452155
1/4/2023,1,2,391549
1/4/2023,1,3,333678
1/4/2023,4,3,407821
1/4/2023,2,4,126742
1/4/2023,1,4,160001
1/4/2023,1,4,291253
1/4/2023,3,4,60018
1/4/2023,3,5,60015
1/4/2023,4,6,305145
1/4/2023,2,6,126740
1/4/2023,2,6,145693
1/4/2023,2,7,145691
1/4/2023,4,7,407817
1/4/2023,4,7,407819
1/4/2023,4,7,305139
1/4/2023,4,7,305142
1/4/2023,2,7,106840
1/4/2023,4,8,305147
1/4/2023,1,8,109643
1/4/2023,2,10,106837
1/4/2023,4,10,407824
1/4/2023,1,10,294896
1/4/2023,1,10,481820
1/5/2023,2,1,215651
1/5/2023,2,1,22535
1/5/2023,1,1,461013
1/5/2023,4,1,322822
1/5/2023,1,1,423678
1/5/2023,4,1,322824
1/5/2023,2,2,227611
1/5/2023,1,2,353377
1/5/2023,2,3,22533
1/5/2023,1,3,296136
1/5/2023,1,3,261384
1/5/2023,1,5,361480
1/5/2023,4,5,322829
1/5/2023,4,7,322827
1/5/2023,1,7,356375
1/5/2023,2,7,215654
1/5/2023,2,8,255820
1/5/2023,1,8,37523
1/5/2023,1,8,477147
1/5/2023,1,8,160622
1/5/2023,2,9,227614
1/5/2023,2,9,255818
1/6/2023,1,1,322567
1/6/2023,4,1,295315
1/6/2023,4,1,386898
1/6/2023,4,1,386902
1/6/2023,2,2,51393
1/6/2023,1,2,369937
1/6/2023,1,3,336624
1/6/2023,4,3,295318
1/6/2023,4,3,386895
1/6/2023,2,4,60444
1/6/2023,1,4,265830
1/6/2023,1,4,136698
1/6/2023,4,4,295321
1/6/2023,4,4,467282
1/6/2023,2,4,60442
1/6/2023,1,5,26374
1/6/2023,2,6,51391
1/6/2023,1,6,340886
1/6/2023,2,7,142233
1/6/2023,4,7,467280
1/6/2023,2,8,142235
1/6/2023,4,9,386900
1/6/2023,4,9,467278
1/6/2023,1,10,478302
1/6/2023,4,10,295323
1/6/2023,4,10,467275
1/7/2023,1,1,60217
1/7/2023,2,1,79726
1/7/2023,1,1,85082
1/7/2023,2,2,241464
1/7/2023,2,2,212042
1/7/2023,1,3,474822
1/7/2023,2,3,79728
1/7/2023,2,3,313332
1/7/2023,1,4,406589
1/7/2023,1,5,170710
1/7/2023,1,6,297649
1/7/2023,2,6,241467
1/7/2023,2,7,272739
1/7/2023,1,8,118038
1/7/2023,2,8,313336
1/7/2023,2,8,212038
1/7/2023,1,9,229278
1/7/2023,2,10,272736
1/8/2023,4,1,397741
1/8/2023,2,1,324171
1/8/2023,1,1,423487
1/8/2023,1,1,449841
1/8/2023,4,2,397746
1/8/2023,2,2,221504
1/8/2023,4,2,86773
1/8/2023,1,2,478618
1/8/2023,1,2,215796
1/8/2023,1,2,399224
1/8/2023,1,2,63053
1/8/2023,3,3,453227
1/8/2023,3,3,453221
1/8/2023,3,3,257203
1/8/2023,3,3,257205
1/8/2023,1,3,150151
1/8/2023,1,5,387340
1/8/2023,3,6,453225
1/8/2023,1,6,77087
1/8/2023,2,6,229805
1/8/2023,4,7,397744
1/8/2023,2,7,229801
1/8/2023,1,7,424623
1/8/2023,1,7,292302
1/8/2023,4,8,86770
1/8/2023,1,8,86590
1/8/2023,3,8,257200
1/8/2023,2,8,221507
1/8/2023,2,9,324168
1/8/2023,1,9,35130
1/8/2023,4,9,86764
1/8/2023,1,10,279266
1/8/2023,4,10,397738
1/8/2023,4,10,86767
1/9/2023,4,1,308112
1/9/2023,4,1,308114
1/9/2023,3,1,154379
1/9/2023,3,2,154381
1/9/2023,1,2,296884
1/9/2023,1,2,117231
1/9/2023,1,2,399819
1/9/2023,1,2,49087
1/9/2023,1,2,371203
1/9/2023,3,2,280126
1/9/2023,1,2,316526
1/9/2023,1,2,45890
1/9/2023,1,2,80963
1/9/2023,3,3,280123
1/9/2023,4,3,373531
1/9/2023,2,3,211423
1/9/2023,1,3,266709
1/9/2023,4,3,322044
1/9/2023,4,3,308110
1/9/2023,4,3,373529
1/9/2023,4,3,322050
1/9/2023,1,4,294170
1/9/2023,1,4,118742
1/9/2023,1,4,166824
1/9/2023,3,4,154384
1/9/2023,4,4,373533
1/9/2023,2,4,51667
1/9/2023,4,5,373535
1/9/2023,1,6,18287
1/9/2023,4,6,322047
1/9/2023,4,6,308108
1/9/2023,3,7,280128
1/9/2023,1,7,408785
1/9/2023,1,7,273747
1/9/2023,1,8,464065
1/9/2023,1,8,339094
1/9/2023,1,8,30655
1/9/2023,1,8,370285
1/9/2023,2,8,211425
1/9/2023,4,9,322042
1/9/2023,1,9,241285
1/9/2023,1,10,265068
1/9/2023,1,10,456360
1/9/2023,1,10,41367
1/9/2023,2,10,51671
1/10/2023,4,1,24831
1/10/2023,2,1,355154
1/10/2023,3,2,473487
1/10/2023,1,2,250543
1/10/2023,3,2,473491
1/10/2023,2,2,222799
1/10/2023,1,2,330655
1/10/2023,4,2,425340
1/10/2023,1,2,428264
1/10/2023,4,2,24826
1/10/2023,2,3,222803
1/10/2023,2,3,54184
1/10/2023,4,3,425338
1/10/2023,2,3,355152
1/10/2023,1,3,146697
1/10/2023,2,4,397062
1/10/2023,1,5,296642
1/10/2023,2,5,397059
1/10/2023,1,5,403028
1/10/2023,4,5,24828
1/10/2023,4,5,24835
1/10/2023,4,5,425336
1/10/2023,1,5,285355
1/10/2023,4,5,425343
1/10/2023,1,6,78869
1/10/2023,1,7,239609
1/10/2023,2,7,54186
1/10/2023,1,9,372478
1/10/2023,1,9,292919
1/10/2023,3,10,473489
1/10/2023,1,10,106161
1/11/2023,2,1,227329
1/11/2023,1,1,165112
1/11/2023,4,1,153319
1/11/2023,1,2,205555
1/11/2023,4,2,153323
1/11/2023,2,2,25227
1/11/2023,4,2,483217
1/11/2023,1,3,229980
1/11/2023,1,3,137440
1/11/2023,4,3,483215
1/11/2023,2,3,67271
1/11/2023,2,3,25229
1/11/2023,2,3,101851
1/11/2023,2,3,227332
1/11/2023,2,4,67269
1/11/2023,3,4,216724
1/11/2023,4,6,153317
1/11/2023,1,6,157992
1/11/2023,4,7,153313
1/11/2023,1,7,323483
1/11/2023,1,8,481231
1/11/2023,3,9,216719
1/11/2023,2,9,36352
1/11/2023,1,9,354748
1/11/2023,4,9,483212
1/11/2023,2,9,101848
1/11/2023,4,9,483220
1/11/2023,3,9,216722
1/11/2023,1,10,283320
1/11/2023,2,10,36354
1/12/2023,4,1,36759
1/12/2023,4,1,178159
1/12/2023,3,1,138422
1/12/2023,1,1,83069
1/12/2023,2,2,66509
1/12/2023,1,2,147503
1/12/2023,3,2,138420
1/12/2023,4,3,178152
1/12/2023,2,3,431957
1/12/2023,2,3,431954
1/12/2023,2,3,317926
1/12/2023,3,3,401288
1/12/2023,2,3,66512
1/12/2023,1,4,367718
1/12/2023,1,4,434635
1/12/2023,4,4,25744
1/12/2023,3,4,401290
1/12/2023,4,4,36757
1/12/2023,4,5,36762
1/12/2023,1,5,282550
1/12/2023,1,5,216982
1/12/2023,4,6,178157
1/12/2023,3,6,401285
1/12/2023,1,7,389039
1/12/2023,2,7,269817
1/12/2023,3,7,56491
1/12/2023,1,7,340844
1/12/2023,3,7,56493
1/12/2023,1,7,212917
1/12/2023,1,7,409423
1/12/2023,1,8,434839
1/12/2023,4,8,25753
1/12/2023,1,8,123087
1/12/2023,2,8,317924
1/12/2023,4,8,36766
1/12/2023,4,9,25748
1/12/2023,2,9,269815
1/12/2023,3,9,138418
1/12/2023,3,9,56489
1/12/2023,4,9,25751
1/12/2023,1,10,384600
1/12/2023,4,10,178155
1/13/2023,1,1,434302
1/13/2023,4,1,433126
1/13/2023,4,1,433122
1/13/2023,1,1,409219
1/13/2023,2,1,226313
1/13/2023,1,2,302928
1/13/2023,3,2,55099
1/13/2023,1,2,246159
1/13/2023,1,2,238946
1/13/2023,4,3,433119
1/13/2023,1,3,87599
1/13/2023,2,3,387983
1/13/2023,1,4,42007
1/13/2023,1,4,236653
1/13/2023,1,4,334975
1/13/2023,2,6,455417
1/13/2023,1,6,347636
1/13/2023,3,7,55093
1/13/2023,4,7,433117
1/13/2023,2,7,455415
1/13/2023,2,7,226311
1/13/2023,1,7,458168
1/13/2023,1,7,453615
1/13/2023,1,8,109087
1/13/2023,2,8,387981
1/13/2023,1,9,69467
1/13/2023,3,9,55096
1/13/2023,1,10,452295
1/13/2023,1,10,166574
1/14/2023,1,1,14734
1/14/2023,2,1,235761
1/14/2023,1,1,411921
1/14/2023,1,2,134103
1/14/2023,1,2,337129
1/14/2023,2,3,21516
1/14/2023,1,3,28578
1/14/2023,1,3,143638
1/14/2023,2,3,426196
1/14/2023,1,3,32602
1/14/2023,1,4,187512
1/14/2023,3,4,103122
1/14/2023,2,5,207737
1/14/2023,2,5,207735
1/14/2023,2,6,235763
1/14/2023,1,6,270876
1/14/2023,1,7,133686
1/14/2023,2,7,426194
1/14/2023,3,8,103120
1/14/2023,1,8,329069
1/14/2023,2,9,21514
1/14/2023,1,9,322520
1/14/2023,1,9,235681
1/14/2023,1,9,471230
1/14/2023,1,10,333146
1/14/2023,1,10,330727
1/14/2023,3,10,103125
1/15/2023,1,1,124359
1/15/2023,3,1,398570
1/15/2023,4,2,41913
1/15/2023,1,2,290242
1/15/2023,3,2,53505
1/15/2023,3,2,218952
1/15/2023,1,3,322612
1/15/2023,1,3,109708
1/15/2023,1,3,400986
1/15/2023,1,3,356868
1/15/2023,3,3,477669
1/15/2023,4,3,41921
1/15/2023,3,4,218950
1/15/2023,1,4,51896
1/15/2023,3,5,53507
1/15/2023,3,5,477671
1/15/2023,1,6,99992
1/15/2023,3,6,398568
1/15/2023,4,6,41911
1/15/2023,1,6,474335
1/15/2023,3,7,398574
1/15/2023,1,8,358795
1/15/2023,2,9,189948
1/15/2023,1,9,442084
1/15/2023,3,9,477667
1/15/2023,2,10,189950
1/15/2023,4,10,41917
1/15/2023,3,10,218954
1/15/2023,3,10,53509
1/16/2023,4,1,28296
1/16/2023,1,1,389679
1/16/2023,1,1,315307
1/16/2023,1,2,375642
1/16/2023,4,2,28294
1/16/2023,1,2,104970
1/16/2023,1,2,11805
1/16/2023,2,3,212713
1/16/2023,4,3,28287
1/16/2023,2,3,212716
1/16/2023,2,4,438878
1/16/2023,1,4,219990
1/16/2023,1,5,74575
1/16/2023,2,6,438875
1/16/2023,1,6,35349
1/16/2023,2,6,32113
1/16/2023,2,7,32115
1/16/2023,1,7,153779
1/16/2023,2,7,418723
1/16/2023,1,8,93167
1/16/2023,1,8,295295
1/16/2023,1,8,352733
1/16/2023,2,9,418719
1/16/2023,4,9,28291
1/16/2023,1,10,117528
1/16/2023,1,10,125967
1/17/2023,2,1,106064
1/17/2023,2,1,313568
1/17/2023,4,1,185375
1/17/2023,1,1,21253
1/17/2023,2,2,106060
1/17/2023,4,2,44768
1/17/2023,2,2,228444
1/17/2023,4,2,185380
1/17/2023,1,3,191551
1/17/2023,2,3,33998
1/17/2023,1,4,94074
1/17/2023,2,4,33996
1/17/2023,4,5,185384
1/17/2023,1,5,193313
1/17/2023,1,6,489572
1/17/2023,1,6,389893
1/17/2023,1,6,434669
1/17/2023,2,6,313571
1/17/2023,2,6,228447
1/17/2023,4,7,44771
1/17/2023,4,7,44775
1/17/2023,1,8,377872
1/17/2023,4,8,185377
1/17/2023,1,8,223415
1/17/2023,2,8,346617
1/17/2023,2,9,118207
1/17/2023,2,9,346614
1/17/2023,4,9,44773
1/17/2023,1,10,189272
1/17/2023,2,10,118209
1/18/2023,1,1,4778
1/18/2023,2,2,451170
1/18/2023,2,2,439561
1/18/2023,3,2,122051
1/18/2023,1,2,43047
1/18/2023,1,3,129297
1/18/2023,1,3,170953
1/18/2023,1,3,486981
1/18/2023,1,3,230000
1/18/2023,2,3,439559
1/18/2023,1,4,489503
1/18/2023,2,4,486978
1/18/2023,2,5,486974
1/18/2023,1,5,401666
1/18/2023,1,5,93008
1/18/2023,2,5,451172
1/18/2023,3,5,122055
1/18/2023,3,6,122057
1/18/2023,1,7,62705
1/18/2023,1,7,475192
1/18/2023,1,7,20303
1/18/2023,1,8,311315
1/18/2023,1,8,328889
1/18/2023,1,9,456241
1/18/2023,1,10,426600
1/19/2023,1,1,173946
1/19/2023,1,1,10199
1/19/2023,1,1,80647
1/19/2023,2,1,226064
1/19/2023,1,1,487811
1/19/2023,1,1,163497
1/19/2023,1,1,171044
1/19/2023,2,2,40571
1/19/2023,1,2,219334
1/19/2023,1,2,82253
1/19/2023,4,2,163533
1/19/2023,1,2,354042
1/19/2023,1,2,16985
1/19/2023,1,2,129195
1/19/2023,1,3,61754
1/19/2023,1,3,40367
1/19/2023,1,3,304761
1/19/2023,4,3,163525
1/19/2023,1,3,421814
1/19/2023,4,3,163528
1/19/2023,1,4,288925
1/19/2023,2,4,256407
1/19/2023,1,4,384662
1/19/2023,4,5,163531
1/19/2023,1,6,488663
1/19/2023,1,8,485993
1/19/2023,2,8,226062
1/19/2023,1,8,73253
1/19/2023,1,8,337838
1/19/2023,1,9,171087
1/19/2023,2,10,40568
1/19/2023,1,10,446424
1/19/2023,2,10,256411
1/19/2023,1,10,457899
1/19/2023,1,10,420914
1/19/2023,1,10,118252
1/20/2023,1,1,210658
1/20/2023,3,2,18364
1/20/2023,1,2,49370
1/20/2023,2,2,95883
1/20/2023,3,2,18366
1/20/2023,4,2,80457
1/20/2023,4,3,80460
1/20/2023,1,3,60513
1/20/2023,1,3,341664
1/20/2023,2,4,359095
1/20/2023,1,4,109522
1/20/2023,1,4,184259
1/20/2023,2,4,448950
1/20/2023,4,4,80468
1/20/2023,2,4,318987
1/20/2023,2,5,359093
1/20/2023,1,5,199318
1/20/2023,1,6,300311
1/20/2023,1,7,203450
1/20/2023,1,7,123698
1/20/2023,1,7,197661
1/20/2023,1,8,191396
1/20/2023,2,8,448947
1/20/2023,2,8,67504
1/20/2023,2,8,95881
1/20/2023,2,9,67508
1/20/2023,1,9,240404
1/20/2023,2,10,318990
1/20/2023,4,10,80464
1/20/2023,3,10,18360
1/21/2023,4,1,357545
1/21/2023,1,1,47386
1/21/2023,4,1,357543
1/21/2023,4,1,357540
1/21/2023,2,1,210153
1/21/2023,2,1,357935
1/21/2023,1,1,69775
1/21/2023,2,2,284964
1/21/2023,2,2,241792
1/21/2023,1,3,63910
1/21/2023,1,3,216400
1/21/2023,2,4,241789
1/21/2023,2,4,357933
1/21/2023,3,5,404042
1/21/2023,2,5,341486
1/21/2023,3,6,404036
1/21/2023,3,6,404040
1/21/2023,2,7,341483
1/21/2023,1,7,237796
1/21/2023,2,7,68073
1/21/2023,1,7,402031
1/21/2023,1,7,253870
1/21/2023,1,8,231278
1/21/2023,1,8,482008
1/21/2023,4,8,357538
1/21/2023,2,8,284967
1/21/2023,2,9,68070
1/21/2023,1,9,164032
1/21/2023,2,10,210151
1/22/2023,1,1,447029
1/22/2023,1,1,401102
1/22/2023,1,1,341441
1/22/2023,3,2,367531
1/22/2023,2,2,299663
1/22/2023,1,3,286513
1/22/2023,1,3,379600
1/22/2023,1,3,38036
1/22/2023,2,4,299665
1/22/2023,1,4,54777
1/22/2023,1,5,106765
1/22/2023,2,6,260280
1/22/2023,2,6,198590
1/22/2023,1,6,329000
1/22/2023,1,6,339566
1/22/2023,2,6,260284
1/22/2023,2,7,198586
1/22/2023,1,7,442795
1/22/2023,2,8,66573
1/22/2023,3,8,367536
1/22/2023,1,8,293368
1/22/2023,2,8,66577
1/22/2023,3,9,367533
1/22/2023,1,9,135343
1/22/2023,1,10,211918
1/23/2023,4,1,107964
1/23/2023,1,1,426040
1/23/2023,3,1,199949
1/23/2023,3,2,199951
1/23/2023,4,2,107957
1/23/2023,4,2,62117
1/23/2023,1,2,30698
1/23/2023,4,2,62119
1/23/2023,1,2,422221
1/23/2023,2,3,469137
1/23/2023,1,3,323355
1/23/2023,1,3,14443
1/23/2023,1,4,183180
1/23/2023,4,4,107962
1/23/2023,3,5,199945
1/23/2023,4,6,107960
1/23/2023,2,6,161097
1/23/2023,1,6,296670
1/23/2023,3,6,357022
1/23/2023,1,6,219099
1/23/2023,1,7,167987
1/23/2023,3,7,357024
1/23/2023,3,8,357020
1/23/2023,1,9,26649
1/23/2023,4,9,62115
1/23/2023,1,10,319793
1/23/2023,1,10,110102
1/23/2023,2,10,161094
1/23/2023,4,10,62112
1/23/2023,2,10,469139
1/24/2023,2,1,179283
1/24/2023,1,1,380846
1/24/2023,1,1,280394
1/24/2023,1,1,409073
1/24/2023,1,1,175959
1/24/2023,1,1,392265
1/24/2023,1,2,103870
1/24/2023,1,2,103256
1/24/2023,1,2,178296
1/24/2023,1,3,75754
1/24/2023,1,3,483935
1/24/2023,1,3,448692
1/24/2023,1,4,76389
1/24/2023,2,4,326666
1/24/2023,1,4,133544
1/24/2023,1,4,357393
1/24/2023,2,5,9012
1/24/2023,2,5,179280
1/24/2023,1,7,458153
1/24/2023,1,7,242943
1/24/2023,2,8,326662
1/24/2023,1,9,107261
1/24/2023,2,9,108891
1/24/2023,1,9,301588
1/24/2023,1,9,55710
1/24/2023,2,10,9010
1/24/2023,2,10,108894
1/25/2023,1,1,148581
1/25/2023,1,1,141564
1/25/2023,1,1,295729
1/25/2023,2,1,218044
1/25/2023,2,1,5407
1/25/2023,3,1,237419
1/25/2023,2,2,178322
1/25/2023,1,2,29161
1/25/2023,1,2,158612
1/25/2023,3,2,237417
1/25/2023,1,2,427354
1/25/2023,1,2,200310
1/25/2023,4,2,170200
1/25/2023,1,3,249413
1/25/2023,1,3,185642
1/25/2023,3,3,467728
1/25/2023,2,3,155679
1/25/2023,2,3,5405
1/25/2023,4,3,170210
1/25/2023,4,4,170208
1/25/2023,1,4,199367
1/25/2023,2,4,226702
1/25/2023,1,4,356126
1/25/2023,3,5,467730
1/25/2023,1,5,145853
1/25/2023,3,6,237423
1/25/2023,1,6,32298
1/25/2023,4,6,365764
1/25/2023,2,6,178326
1/25/2023,4,7,365766
1/25/2023,4,7,365768
1/25/2023,4,7,170204
1/25/2023,3,8,467732
1/25/2023,4,8,365761
1/25/2023,2,8,218046
1/25/2023,1,9,105043
1/25/2023,2,9,226704
1/25/2023,2,10,155677
1/26/2023,4,1,435877
1/26/2023,1,1,332127
1/26/2023,1,1,471559
1/26/2023,1,1,402369
1/26/2023,4,2,304398
1/26/2023,3,2,216780
1/26/2023,2,2,112000
1/26/2023,4,2,304395
1/26/2023,1,2,143047
1/26/2023,3,3,255444
1/26/2023,1,3,159474
1/26/2023,2,3,82755
1/26/2023,4,4,435883
1/26/2023,4,5,435886
1/26/2023,2,5,291921
1/26/2023,4,5,304400
1/26/2023,2,5,82753
1/26/2023,1,6,1146
1/26/2023,2,6,363858
1/26/2023,4,6,304402
1/26/2023,2,6,111998
1/26/2023,2,6,125545
1/26/2023,3,7,216778
1/26/2023,4,7,435879
1/26/2023,1,7,32065
1/26/2023,2,8,291923
1/26/2023,1,8,435803
1/26/2023,3,8,255446
1/26/2023,3,8,255448
1/26/2023,1,9,319481
1/26/2023,1,9,281234
1/26/2023,3,9,216784
1/26/2023,2,9,363856
1/26/2023,1,9,362490
1/26/2023,1,10,468477
1/26/2023,2,10,125548
1/26/2023,1,10,99627
1/27/2023,1,1,144438
1/27/2023,4,1,61021
1/27/2023,1,1,173092
1/27/2023,4,2,61018
1/27/2023,2,2,420398
1/27/2023,2,4,420396
1/27/2023,1,4,355038
1/27/2023,1,4,469705
1/27/2023,4,4,61024
1/27/2023,1,4,103590
1/27/2023,1,5,255586
1/27/2023,1,5,317474
1/27/2023,1,5,112983
1/27/2023,1,5,245738
1/27/2023,4,5,1507
1/27/2023,1,6,43916
1/27/2023,1,6,60636
1/27/2023,4,7,1505
1/27/2023,1,7,95877
1/27/2023,1,7,424388
1/27/2023,1,7,384867
1/27/2023,1,7,356232
1/27/2023,4,8,1499
1/27/2023,1,8,161953
1/27/2023,4,8,61015
1/27/2023,1,8,280201
1/27/2023,1,9,173435
1/27/2023,4,10,1501
1/28/2023,1,1,15070
1/28/2023,1,1,427159
1/28/2023,1,2,266990
1/28/2023,1,2,479705
1/28/2023,2,2,374272
1/28/2023,1,3,411514
1/28/2023,1,3,66316
1/28/2023,1,3,439864
1/28/2023,2,3,137167
1/28/2023,1,3,58107
1/28/2023,2,4,374270
1/28/2023,1,4,471412
1/28/2023,3,4,156430
1/28/2023,1,4,201761
1/28/2023,1,4,125442
1/28/2023,1,4,178346
1/28/2023,2,5,182806
1/28/2023,2,5,137164
1/28/2023,3,5,361239
1/28/2023,2,7,69404
1/28/2023,3,7,361245
1/28/2023,1,7,393891
1/28/2023,2,7,182804
1/28/2023,1,7,230853
1/28/2023,3,7,156434
1/28/2023,1,8,415007
1/28/2023,2,9,69406
1/28/2023,3,9,361242
1/28/2023,1,9,131540
1/28/2023,1,9,216479
1/28/2023,1,10,250566
1/28/2023,3,10,156437
1/29/2023,3,1,184067
1/29/2023,2,1,323067
1/29/2023,1,1,167991
1/29/2023,1,1,432143
1/29/2023,1,1,261789
1/29/2023,1,1,64797
1/29/2023,1,2,318496
1/29/2023,1,2,87049
1/29/2023,1,2,472550
1/29/2023,1,2,313520
1/29/2023,1,3,480325
1/29/2023,1,3,42848
1/29/2023,3,3,184065
1/29/2023,1,3,113006
1/29/2023,1,4,438989
1/29/2023,1,4,104517
1/29/2023,4,5,211246
1/29/2023,4,6,211250
1/29/2023,2,6,339234
1/29/2023,1,7,456113
1/29/2023,2,8,339232
1/29/2023,3,8,184063
1/29/2023,1,9,409401
1/29/2023,4,9,211242
1/29/2023,2,9,323069
1/29/2023,4,10,211248
1/30/2023,1,1,107323
1/30/2023,2,1,317547
1/30/2023,2,2,330802
1/30/2023,2,3,155843
1/30/2023,1,3,121576
1/30/2023,1,3,98473
1/30/2023,1,3,298907
1/30/2023,2,3,348312
1/30/2023,2,3,330800
1/30/2023,1,4,25659
1/30/2023,1,4,457054
1/30/2023,1,4,271275
1/30/2023,1,5,304504
1/30/2023,1,6,268611
1/30/2023,1,6,316795
1/30/2023,2,7,367931
1/30/2023,1,7,307481
1/30/2023,1,7,230044
1/30/2023,1,7,248060
1/30/2023,2,8,317550
1/30/2023,1,9,466856
1/30/2023,1,9,22332
1/30/2023,2,9,367935
1/30/2023,2,10,155841
1/30/2023,2,10,348310
1/30/2023,1,10,260169
1/31/2023,2,1,176948
1/31/2023,3,1,71532
1/31/2023,1,1,92959
1/31/2023,1,1,394970
1/31/2023,1,1,261062
1/31/2023,3,2,71528
1/31/2023,3,2,266069
1/31/2023,1,2,481101
1/31/2023,1,2,167794
1/31/2023,2,3,387876
1/31/2023,1,3,387653
1/31/2023,3,3,266066
1/31/2023,1,3,404257
1/31/2023,2,3,387879
1/31/2023,1,5,430936
1/31/2023,1,6,73307
1/31/2023,2,6,440455
1/31/2023,1,7,312677
1/31/2023,2,7,440459
1/31/2023,3,7,266073
1/31/2023,3,7,71535
1/31/2023,1,8,434114
1/31/2023,2,8,311783
1/31/2023,2,8,477555
1/31/2023,1,8,250056
1/31/2023,2,8,176945
1/31/2023,1,9,294826
1/31/2023,1,9,270595
1/31/2023,2,9,311781
1/31/2023,1,10,318188
1/31/2023,1,10,20462
1/31/2023,2,10,477553
2/1/2023,3,1,218482
2/1/2023,2,1,442380
2/1/2023,1,1,298452
2/1/2023,1,1,446744
2/1/2023,1,2,440970
2/1/2023,4,2,439617
2/1/2023,3,2,218485
2/1/2023,1,2,160481
2/1/2023,1,2,410478
2/1/2023,1,3,327067
2/1/2023,1,3,383875
2/1/2023,1,3,456530
2/1/2023,1,3,43085
2/1/2023,4,4,439611
2/1/2023,1,4,367672
2/1/2023,4,4,439615
2/1/2023,1,4,94464
2/1/2023,2,4,426681
2/1/2023,2,4,187948
2/1/2023,4,5,439620
2/1/2023,1,6,194314
2/1/2023,2,6,326060
2/1/2023,1,7,268360
2/1/2023,1,7,272373
2/1/2023,2,7,187950
2/1/2023,1,8,35016
2/1/2023,2,8,442384
2/1/2023,1,8,81094
2/1/2023,2,9,326062
2/1/2023,1,9,108647
2/1/2023,1,9,223656
2/1/2023,2,9,426683
2/1/2023,1,10,150100
2/1/2023,3,10,218487
2/2/2023,3,1,100525
2/2/2023,1,1,420527
2/2/2023,2,1,369482
2/2/2023,1,2,419177
2/2/2023,1,2,478528
2/2/2023,1,2,308314
2/2/2023,1,2,66210
2/2/2023,2,3,175772
2/2/2023,2,3,449439
2/2/2023,3,4,100527
2/2/2023,1,4,384802
2/2/2023,1,4,49721
2/2/2023,1,4,478238
2/2/2023,1,5,230592
2/2/2023,1,6,39407
2/2/2023,1,6,306431
2/2/2023,1,7,466287
2/2/2023,2,7,369479
2/2/2023,3,7,100523
2/2/2023,2,8,449441
2/2/2023,2,9,175768
2/2/2023,1,10,162141
2/3/2023,1,1,286776
2/3/2023,1,1,225748
2/3/2023,2,1,382588
2/3/2023,1,1,4247
2/3/2023,1,1,106371
